"Disease","Category","Number of SNPs","Number of genes","Biogrid Coherence KEGG","String Coherence KEGG","String Filt Coherence KEGG","Biogrid Coherence Reactome","String Coherence Reactome","String Filt Coherence Reactome","Biogrid Coherence GOCC","String Coherence GOCC","String Filt Coherence GOCC","Biogrid P-value","String P-value","String Filt P-value"
"Vitiligo","Autoimmune",37,35,NA,0.85,0.86,NA,0.93,0.9,NA,0.9,0.9,NA,0.001,0.001
"Obesity","Metabolic disease",28,26,NA,0.85,0.99,NA,0.86,1.02,NA,0.91,1.02,NA,0.001,0.001
"Behcet's disease","Autoimmune",15,11,NA,0.84,0.82,NA,0.93,0.92,NA,0.91,0.9,NA,0.001,0.002
"Electrocardiographic traits","Cardiovascular trait",27,23,NA,0.84,0.93,NA,0.96,0.97,NA,0.93,0.95,NA,0.001,0.001
"Weight","Anthropometric trait",33,31,NA,0.84,1,NA,0.93,1.05,NA,0.93,1.03,NA,0.001,0.001
"Systolic blood pressure","Cardiovascular trait",44,37,NA,0.84,0.86,NA,0.88,0.89,NA,0.86,0.88,NA,0.001,0.001
"Age-related macular degeneration","Eye disease",66,48,NA,0.84,0.9,NA,0.86,0.93,NA,0.86,0.93,NA,0.001,0.001
"Psoriasis","Autoimmune",47,39,NA,0.83,0.9,0.83,0.86,0.92,0.85,0.85,0.92,0.001,0.001,0.001
"Ulcerative colitis","Autoimmune",127,106,NA,0.83,0.81,0.84,0.78,0.8,0.83,0.76,0.84,0.001,0.001,0.001
"Infant length","Anthropometric trait",15,15,NA,0.83,0.83,NA,0.9,0.87,NA,0.86,0.84,NA,0.001,0.001
"Intraocular pressure","Eye trait",69,22,NA,0.83,0.89,NA,0.96,0.93,NA,0.93,0.92,NA,0.001,0.001
"Waist-hip ratio","Anthropometric trait",22,21,NA,0.82,0.93,NA,0.94,0.97,NA,0.92,0.95,NA,0.001,0.001
"Menopause (age at onset)","Anthropometric trait",36,35,NA,0.82,0.93,NA,0.87,0.98,NA,0.87,0.97,NA,0.001,0.001
"Metabolic syndrome","Metabolic disease",47,42,NA,0.81,0.9,0.95,0.84,0.94,0.93,0.83,0.94,0.001,0.001,0.001
"Blood metabolite levels","Metabolic trait",183,152,NA,0.81,0.92,0.95,0.78,0.88,0.96,0.8,0.96,0.001,0.001,0.001
"Hair color","Anthropometric trait",13,13,NA,0.81,0.96,NA,0.88,1,NA,0.89,0.98,NA,0.001,0.001
"Atrial fibrillation","Cardiovascular disease",20,15,NA,0.8,0.95,0.67,0.89,0.99,0.65,0.87,0.97,0.002,0.001,0.001
"Prostate cancer","Cancer",131,109,NA,0.8,0.86,0.85,0.73,0.87,0.82,0.78,0.88,0.001,0.001,0.001
"LDL cholesterol","Metabolic trait",113,94,NA,0.8,0.92,0.87,0.73,0.88,0.86,0.77,0.94,0.001,0.001,0.001
"Venous thromboembolism","Cardiovascular disease",26,17,NA,0.8,0.83,NA,0.91,0.85,NA,0.86,0.84,NA,0.001,0.001
"Coronary heart disease","Cardiovascular disease",100,83,NA,0.79,0.81,0.83,0.76,0.81,0.81,0.76,0.83,0.001,0.001,0.001
"Crohn's disease","Autoimmune",193,143,0.82,0.79,0.85,0.82,0.8,0.82,0.84,0.82,0.82,0.001,0.001,0.001
"Alzheimer's disease","Neurologic",56,49,NA,0.79,0.93,NA,0.82,0.97,NA,0.81,0.96,NA,0.001,0.001
"Celiac disease","Autoimmune",65,64,NA,0.78,0.81,0.77,0.72,0.85,0.77,0.79,0.85,0.002,0.001,0.001
"Epilepsy","Neurologic",10,10,NA,0.77,NA,NA,0.86,NA,NA,0.88,NA,NA,0.001,NA
"Cardiovascular disease risk factors","Metabolic trait",21,20,NA,0.77,0.89,NA,0.85,0.93,NA,0.86,0.92,NA,0.001,0.001
"Blood pressure","Cardiovascular trait",90,83,NA,0.76,0.88,0.61,0.72,0.9,0.61,0.74,0.89,0.002,0.001,0.001
"Melanoma","Cancer",23,21,NA,0.76,NA,NA,0.8,NA,NA,0.79,NA,NA,0.001,0.001
"Kawasaki disease","Autoimmune",19,18,NA,0.76,0.88,NA,0.88,0.9,NA,0.8,0.89,NA,0.001,0.001
"Inflammatory bowel disease","Autoimmune",114,111,0.83,0.75,0.82,0.82,0.76,0.8,0.85,0.82,0.79,0.001,0.001,0.001
"Eye color","Anthropometric trait",13,11,NA,0.75,0.96,NA,0.81,0.99,NA,0.81,0.98,NA,0.001,0.001
"Alcohol dependence","Psychiatric",29,28,NA,0.75,0.9,NA,0.8,0.93,NA,0.8,0.92,NA,0.001,0.001
"Phospholipid levels (plasma)","Metabolic trait",61,52,NA,0.75,0.88,NA,0.77,0.91,NA,0.77,0.91,NA,0.001,0.001
"HDL cholesterol","Metabolic trait",152,114,NA,0.74,0.94,0.84,0.77,0.89,0.83,0.79,0.95,0.001,0.001,0.001
"Cervical cancer","Cancer",16,16,NA,0.74,0.83,NA,0.76,0.87,NA,0.72,0.86,NA,0.001,0.002
"Mean platelet volume","Cardiovascular trait",53,43,NA,0.74,0.81,NA,0.75,0.84,NA,0.74,0.82,NA,0.001,0.001
"Pancreatic cancer","Cancer",48,44,NA,0.73,0.86,NA,0.76,0.91,NA,0.71,0.9,NA,0.001,0.001
"Breast cancer","Cancer",149,109,NA,0.72,0.77,0.83,0.69,0.79,0.84,0.7,0.79,0.001,0.001,0.001
"Smoking behavior","Psychiatric",41,39,NA,0.71,0.92,NA,0.76,0.96,NA,0.72,0.95,NA,0.001,0.001
"Ovarian cancer","Cancer",14,12,NA,0.7,NA,NA,0.81,NA,NA,0.78,NA,NA,0.001,NA
"Lupus nephritis in systemic lupus erythematosus","Autoimmune",17,17,NA,0.69,NA,NA,0.8,NA,NA,0.73,NA,NA,0.001,NA
"Diabetic retinopathy","Metabolic disease",28,27,NA,0.69,0.88,NA,0.74,0.92,NA,0.75,0.93,NA,0.001,0.001
"Heart rate","Cardiovascular trait",37,37,NA,0.69,0.77,NA,0.71,0.81,NA,0.69,0.79,NA,0.001,0.001
"Platelet counts","Cardiovascular trait",77,68,NA,0.68,0.72,0.83,0.65,0.75,0.84,0.66,0.74,0.002,0.001,0.001
"PR interval","Cardiovascular trait",34,21,NA,0.68,0.85,NA,0.74,0.88,NA,0.73,0.87,NA,0.001,0.001
"Inflammatory skin disease","Autoimmune",88,84,NA,0.67,0.88,0.77,0.63,0.88,0.78,0.63,0.9,0.001,0.001,0.001
"Esophageal cancer","Cancer",13,12,NA,0.67,NA,NA,0.72,NA,NA,0.7,NA,NA,0.001,NA
"Chronic lymphocytic leukemia","Cancer",40,35,NA,0.66,0.85,0.94,0.66,0.9,0.92,0.63,0.9,0.001,0.001,0.001
"Lung cancer","Cancer",27,24,NA,0.66,0.88,NA,0.75,0.92,NA,0.74,0.9,NA,0.001,0.001
"QT interval","Cardiovascular trait",145,103,NA,0.64,0.86,0.86,0.6,0.85,0.86,0.65,0.88,0.001,0.001,0.001
"Mean corpuscular hemoglobin","Cardiovascular trait",30,22,NA,0.64,0.81,0.95,0.69,0.82,0.94,0.69,0.85,0.001,0.001,0.001
"Anorexia nervosa","Psychiatric",15,15,NA,0.64,NA,NA,0.75,NA,NA,0.7,NA,NA,0.001,NA
"Optic cup area","Eye trait",24,23,NA,0.64,0.76,NA,0.84,0.79,NA,0.78,0.78,NA,0.001,0.001
"Gout","Metabolic disease",14,11,NA,0.63,NA,NA,0.71,NA,NA,0.76,NA,NA,0.001,NA
"Multiple sclerosis","Autoimmune",162,141,0.82,0.61,0.77,0.78,0.63,0.75,0.83,0.64,0.76,0.001,0.001,0.001
"Resting heart rate","Cardiovascular trait",13,12,NA,0.61,0.77,NA,0.62,0.85,NA,0.6,0.82,NA,0.001,0.002
"Panic disorder","Psychiatric",17,17,NA,0.59,NA,NA,0.6,NA,NA,0.67,NA,NA,0.001,NA
"Mean corpuscular volume","Cardiovascular trait",38,29,NA,0.58,0.84,0.95,0.59,0.88,0.94,0.62,0.87,0.001,0.001,0.001
"Autism","Psychiatric",25,18,NA,0.58,0.84,NA,0.7,0.86,NA,0.63,0.86,NA,0.001,0.001
"Intracranial aneurysm","Cardiovascular disease",17,12,NA,0.57,NA,NA,0.7,NA,NA,0.67,NA,NA,0.001,NA
"Allergic rhinitis","Autoimmune",22,22,NA,0.57,0.78,NA,0.63,0.8,NA,0.59,0.8,NA,0.001,0.001
"Waist circumference","Anthropometric trait",24,24,NA,0.56,0.93,NA,0.66,0.96,NA,0.66,0.95,NA,0.001,0.001
"Colorectal cancer","Cancer",69,59,NA,0.55,0.81,0.79,0.58,0.83,0.79,0.61,0.84,0.002,0.001,0.001
"Schizophrenia","Psychiatric",233,199,0.8,0.55,0.68,0.78,0.51,0.66,0.79,0.56,0.7,0.002,0.001,0.001
"Glaucoma","Eye disease",11,10,NA,0.55,0.95,NA,0.63,0.99,NA,0.64,0.98,NA,0.001,0.001
"Vertical cup-disc ratio","Eye disease",26,24,NA,0.54,NA,NA,0.66,NA,NA,0.64,NA,NA,0.001,NA
"Bipolar disorder","Psychiatric",127,106,NA,0.53,0.86,0.87,0.49,0.9,0.87,0.5,0.9,0.001,0.001,0.001
"Migraine","Neurologic",70,67,NA,0.53,0.8,0.94,0.52,0.83,0.92,0.55,0.81,NA,0.001,0.001
"Migraine without aura","Neurologic",32,31,NA,0.53,0.81,NA,0.56,0.83,NA,0.53,0.83,NA,0.001,0.001
"Menarche (age at onset)","Anthropometric trait",172,142,NA,0.52,0.81,0.83,0.5,0.77,0.83,0.51,0.8,0.001,0.001,0.001
"Epithelial ovarian cancer","Cancer",22,22,NA,0.52,0.88,NA,0.56,0.93,NA,0.57,0.93,NA,0.001,0.001
"White blood cell count","Cardiovascular trait",25,19,NA,0.52,0.72,NA,0.6,0.72,NA,0.61,0.74,NA,0.001,0.001
"Breast size","Anthropometric trait",31,31,NA,0.52,0.78,NA,0.51,0.8,NA,0.54,0.78,NA,0.001,0.001
"Obesity-related traits","Anthropometric trait",833,779,0.7,0.51,0.41,0.64,0.32,0.37,0.73,0.32,0.41,0.001,0.001,0.002
"Hypertension","Cardiovascular disease",62,51,NA,0.51,0.8,NA,0.54,0.84,NA,0.54,0.83,NA,0.001,0.001
"Height","Anthropometric trait",597,418,0.71,0.5,0.54,0.69,0.38,0.53,0.71,0.43,0.56,0.001,0.001,0.001
"Hippocampal volume","Anthropometric trait",24,24,NA,0.49,0.77,NA,0.54,0.83,NA,0.54,0.81,NA,0.001,0.001
"Axial length","Eye trait",21,21,NA,0.49,0.88,NA,0.58,0.91,NA,0.58,0.9,NA,0.001,0.001
"Attention deficit hyperactivity disorder","Psychiatric",75,75,NA,0.49,0.8,NA,0.48,0.83,NA,0.44,0.81,NA,0.001,0.001
"Red blood cell traits","Cardiovascular trait",45,45,NA,0.47,0.75,0.84,0.47,0.79,0.82,0.52,0.77,0.001,0.001,0.001
"Acute lymphoblastic leukemia (childhood)","Cancer",46,40,NA,0.46,NA,NA,0.45,NA,NA,0.47,NA,NA,0.001,NA
"Hodgkin's lymphoma","Cancer",16,14,NA,0.44,0.8,NA,0.49,0.86,NA,0.55,0.82,NA,0.001,0.002
"Educational attainment","Intelligence",70,68,NA,0.43,0.72,0.72,0.4,0.73,0.71,0.47,0.71,0.001,0.001,0.001
"Heart failure","Cardiovascular disease",17,17,NA,0.43,NA,NA,0.48,NA,NA,0.39,NA,NA,0.001,NA
"Birth weight","Anthropometric trait",11,11,NA,0.41,NA,NA,0.55,NA,NA,0.58,NA,NA,0.001,NA
"Neutrophil count","Cardiovascular trait",26,25,NA,0.41,0.68,NA,0.46,0.7,NA,0.41,0.7,NA,0.001,0.001
"Basal cell carcinoma","Cancer",17,17,NA,0.41,0.61,NA,0.54,0.61,NA,0.41,0.71,NA,0.001,0.002
"Myopia (pathological)","Eye disease",78,73,NA,0.39,0.74,0.78,0.36,0.75,0.77,0.38,0.76,0.001,0.001,0.001
"Verbal declarative memory","Intelligence",31,29,NA,0.39,NA,NA,0.31,NA,NA,0.38,NA,NA,0.001,NA
"Post-traumatic stress disorder","Psychiatric",24,24,NA,0.39,NA,NA,0.48,NA,NA,0.49,NA,NA,0.001,NA
"Subcutaneous adipose tissue","Anthropometric trait",37,36,NA,0.39,NA,NA,0.42,NA,NA,0.41,NA,NA,0.001,NA
"Visceral fat","Anthropometric trait",39,39,NA,0.38,NA,NA,0.38,NA,NA,0.43,NA,NA,0.001,NA
"Age-related nuclear cataracts","Eye disease",15,15,NA,0.37,NA,NA,0.26,NA,NA,0.27,NA,NA,0.001,NA
"Sudden cardiac arrest","Cardiovascular disease",50,50,NA,0.37,0.7,NA,0.34,0.71,NA,0.4,0.71,NA,0.001,0.002
"Personality dimensions","Intelligence",21,21,NA,0.35,0.68,NA,0.53,0.77,NA,0.4,0.76,NA,0.001,0.001
"Amyotrophic lateral sclerosis","Neurologic",59,55,NA,0.33,0.79,NA,0.3,0.86,NA,0.26,0.83,NA,0.001,0.001
"Refractive astigmatism","Eye disease",15,15,NA,0.32,NA,NA,0.38,NA,NA,0.45,NA,NA,0.001,NA
"Cognitive function","Intelligence",59,59,NA,0.31,0.75,0.87,0.39,0.81,0.85,0.41,0.79,0.001,0.001,0.001
"Major depressive disorder","Psychiatric",77,76,NA,0.31,0.71,NA,0.33,0.76,NA,0.33,0.74,NA,0.001,0.002
"Hippocampal atrophy","Neurologic",34,34,NA,0.29,0.78,NA,0.41,0.83,NA,0.35,0.78,NA,0.001,0.001
"Corneal curvature","Eye trait",18,17,NA,0.27,NA,NA,0.34,NA,NA,0.4,NA,NA,0.001,NA
"Longevity","Anthropometric trait",43,42,NA,0.27,0.7,NA,0.35,0.75,NA,0.32,0.75,NA,0.001,0.001
"Corneal astigmatism","Eye disease",30,30,NA,0.25,0.71,NA,0.33,0.77,NA,0.34,0.74,NA,0.001,0.001
"Intelligence","Intelligence",55,21,NA,0.22,NA,NA,0.21,NA,NA,0.26,NA,NA,0.001,NA
"Anxiety disorder","Psychiatric",15,14,NA,0.2,NA,NA,0.41,NA,NA,0.36,NA,NA,0.001,NA
"Metabolite levels (Pyroglutamine)","Metabolic trait",23,23,NA,0.18,NA,NA,0.23,NA,NA,0.15,NA,NA,0.001,NA
"Multiple myeloma (IgH translocation)","Cancer",23,21,NA,0.17,NA,NA,0.37,NA,NA,0.33,NA,NA,0.001,NA
"Migraine with aura","Neurologic",23,23,NA,0.12,0.93,NA,0.07,0.98,NA,0.17,0.96,NA,0.001,0.001
"Hip geometry","Anthropometric trait",16,16,NA,-0.04,NA,NA,0.3,NA,NA,0.34,NA,NA,0.001,NA
"Preeclampsia","Cardiovascular disease",18,18,NA,-0.2,NA,NA,0.14,NA,NA,-0.02,NA,NA,0.001,NA
